datapath,in-port,eth-dst,out-port,packets,bytes,duration-sec,duration-nsec,flags,vlan
0000000000000027,       3,fa:8f:99:2c:69:cd,       1,       0,       0,0,270000000,0x0000,0
0000000000000006,       4,fa:8f:99:2c:69:cd,       1,       0,       0,0,257000000,0x0000,0
000000000000000a,       2,fa:8f:99:2c:69:cd,       1,       0,       0,0,259000000,0x0000,0
0000000000000002,       2,fa:8f:99:2c:69:cd,       3,       0,       0,0,242000000,0x0000,0
0000000000000002,       3,46:fe:e1:49:87:f8,       2,      34,   23096,0,36000000,0x0000,1
0000000000000003,       1,46:fe:e1:49:87:f8,       2,      40,   26348,0,0,0x0000,1
0000000000000003,       2,fa:8f:99:2c:69:cd,       1,       0,       0,0,247000000,0x0000,0
000000000000000a,       1,46:fe:e1:49:87:f8,       2,      11,    5962,0,0,0x0000,1
000000000000000a,       2,fa:8f:99:2c:69:cd,       1,       2,     612,0,458000000,0x0000,0
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    1230,  798408,0,86000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,      16,    7536,10,456000000,0x0000,0
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    1282,  827564,0,301000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,      16,    7536,20,594000000,0x0000,0
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    1315,  853814,0,265000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,      16,    7536,30,767000000,0x0000,0
0000000000000027,       1,46:fe:e1:49:87:f8,       3,    1105,  704638,0,0,0x0000,1
0000000000000027,       3,fa:8f:99:2c:69:cd,       1,      16,    7536,10,400000000,0x0000,0
0000000000000027,       1,46:fe:e1:49:87:f8,       3,    1215,  775538,0,0,0x0000,1
0000000000000027,       3,fa:8f:99:2c:69:cd,       1,      16,    7536,20,661000000,0x0000,0
000000000000001a,       1,46:fe:e1:49:87:f8,       2,     325,  192098,6,888000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,      15,    6966,8,840000000,0x0000,0
000000000000000a,       1,46:fe:e1:49:87:f8,       2,       9,    4878,0,1000000,0x0000,1
000000000000000a,       2,fa:8f:99:2c:69:cd,       1,       0,       0,0,568000000,0x0000,0
000000000000001a,       1,46:fe:e1:49:87:f8,       2,     662,  411316,16,997000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,      15,    6966,18,949000000,0x0000,0
