datapath,in-port,eth-dst,out-port,packets,bytes,duration-sec,duration-nsec,flags,vlan
000000000000001a,       2,7e:ba:50:68:c8:ee,       1,       1,      42,4,489000000,0x0000,0
000000000000001a,       2,8a:91:5e:64:27:03,       1,       2,      84,2,624000000,0x0000,0
000000000000000a,       1,1a:d9:eb:06:76:99,       1,       5,     370,0,184000000,0x0000,0
0000000000000006,       1,1a:d9:eb:06:76:99,       4,       8,     592,0,194000000,0x0000,0
0000000000000006,       4,8a:91:5e:64:27:03,       1,       0,       0,0,997000000,0x0000,0
000000000000000a,       1,1a:d9:eb:06:76:99,       2,     104,    7696,5,250000000,0x0000,0
000000000000000a,       2,7e:ba:50:68:c8:ee,       1,       6,     252,6,905000000,0x0000,0
000000000000000a,       2,8a:91:5e:64:27:03,       1,       4,     168,5,994000000,0x0000,0
0000000000000027,       1,1a:d9:eb:06:76:99,       1,     124,    9176,5,126000000,0x0000,0
0000000000000027,       3,7e:ba:50:68:c8:ee,       1,       7,     294,7,296000000,0x0000,0
0000000000000027,       3,8a:91:5e:64:27:03,       1,       5,     210,7,532000000,0x0000,0
0000000000000006,       1,1a:d9:eb:06:76:99,       4,      98,    7252,5,628000000,0x0000,0
0000000000000006,       4,7e:ba:50:68:c8:ee,       1,       6,     252,6,411000000,0x0000,0
0000000000000006,       4,8a:91:5e:64:27:03,       1,       5,     210,6,905000000,0x0000,0
000000000000001a,       1,1a:d9:eb:06:76:99,       2,     135,    9990,13,193000000,0x0000,0
000000000000001a,       2,7e:ba:50:68:c8:ee,       1,       9,     378,14,690000000,0x0000,0
000000000000001a,       2,8a:91:5e:64:27:03,       1,       8,     336,12,825000000,0x0000,0
0000000000000006,       1,1a:d9:eb:06:76:99,       4,     254,   18796,15,796000000,0x0000,0
0000000000000006,       4,7e:ba:50:68:c8:ee,       1,      10,     420,16,579000000,0x0000,0
0000000000000006,       4,8a:91:5e:64:27:03,       1,      13,     546,17,73000000,0x0000,0
000000000000000a,       1,1a:d9:eb:06:76:99,       2,     260,   19240,15,436000000,0x0000,0
000000000000000a,       2,7e:ba:50:68:c8:ee,       1,      10,     420,17,91000000,0x0000,0
000000000000000a,       2,8a:91:5e:64:27:03,       1,      12,     504,16,180000000,0x0000,0
000000000000001a,       1,1a:d9:eb:06:76:99,       2,     291,   21534,23,385000000,0x0000,0
000000000000001a,       2,7e:ba:50:68:c8:ee,       1,      13,     546,24,882000000,0x0000,0
000000000000001a,       2,8a:91:5e:64:27:03,       1,      16,     672,23,17000000,0x0000,0
0000000000000027,       1,1a:d9:eb:06:76:99,       1,     280,   20720,15,334000000,0x0000,0
0000000000000027,       3,7e:ba:50:68:c8:ee,       1,      11,     462,17,504000000,0x0000,0
0000000000000027,       3,8a:91:5e:64:27:03,       1,      13,     546,17,740000000,0x0000,0
000000000000000a,       1,1a:d9:eb:06:76:99,       2,     470,   34780,25,333000000,0x0000,0
000000000000000a,       2,7e:ba:50:68:c8:ee,       1,      15,     630,26,988000000,0x0000,0
000000000000000a,       2,8a:91:5e:64:27:03,       1,      19,     798,26,77000000,0x0000,0
0000000000000027,       1,1a:d9:eb:06:76:99,       1,     490,   36260,25,209000000,0x0000,0
0000000000000027,       3,7e:ba:50:68:c8:ee,       1,      16,     672,27,379000000,0x0000,0
0000000000000027,       3,8a:91:5e:64:27:03,       1,      20,     840,27,615000000,0x0000,0
000000000000001a,       1,1a:d9:eb:06:76:99,       2,     501,   37074,33,372000000,0x0000,0
000000000000001a,       2,7e:ba:50:68:c8:ee,       1,      18,     756,34,869000000,0x0000,0
000000000000001a,       2,8a:91:5e:64:27:03,       1,      23,     966,33,4000000,0x0000,0
0000000000000006,       1,1a:d9:eb:06:76:99,       4,     464,   34336,25,730000000,0x0000,0
0000000000000006,       4,7e:ba:50:68:c8:ee,       1,      15,     630,26,513000000,0x0000,0
0000000000000006,       4,8a:91:5e:64:27:03,       1,      20,     840,27,7000000,0x0000,0
000000000000000a,       1,1a:d9:eb:06:76:99,       2,     622,   46028,35,388000000,0x0000,0
000000000000000a,       2,7e:ba:50:68:c8:ee,       1,      21,     882,37,43000000,0x0000,0
000000000000000a,       2,8a:91:5e:64:27:03,       1,      36,    1512,36,132000000,0x0000,0
0000000000000006,       1,1a:d9:eb:06:76:99,       4,     616,   45584,35,764000000,0x0000,0
0000000000000006,       1,7e:ba:50:68:c8:ee,       1,       0,       0,6,894000000,0x0000,0
0000000000000006,       4,7e:ba:50:68:c8:ee,       1,      21,     882,36,547000000,0x0000,0
0000000000000006,       4,8a:91:5e:64:27:03,       1,      37,    1554,37,41000000,0x0000,0
0000000000000027,       1,1a:d9:eb:06:76:99,       1,     642,   47508,35,272000000,0x0000,0
0000000000000027,       3,7e:ba:50:68:c8:ee,       1,      22,     924,37,442000000,0x0000,0
0000000000000027,       3,8a:91:5e:64:27:03,       1,      37,    1554,37,678000000,0x0000,0
000000000000001a,       1,1a:d9:eb:06:76:99,       2,     653,   48322,43,338000000,0x0000,0
000000000000001a,       2,7e:ba:50:68:c8:ee,       1,      24,    1008,44,835000000,0x0000,0
000000000000001a,       2,8a:91:5e:64:27:03,       1,      40,    1680,42,970000000,0x0000,0
000000000000001a,       1,1a:d9:eb:06:76:99,       2,     816,   60384,53,439000000,0x0000,0
000000000000001a,       2,7e:ba:50:68:c8:ee,       1,      28,    1176,54,936000000,0x0000,0
