000000000000001c,       2,       6,     428,       0,      10,     668,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
000000000000001c,fffffffe,       0,       0,       0,       0,       0,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
000000000000001d,       1,      10,     668,       0,       6,     428,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
000000000000001d,       2,      11,     758,       0,      10,     698,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
000000000000001d,fffffffe,       0,       0,       0,       0,       0,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
0000000000000001,       1,       7,     528,       0,      12,     818,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
0000000000000001,       2,       9,     648,       0,      11,     728,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
0000000000000001,fffffffe,       0,       0,       0,       0,       0,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
0000000000000007,       1,      11,     758,       0,       7,     528,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
0000000000000007,       2,      12,     818,       0,      10,     718,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
0000000000000007,       3,       5,     368,       0,      14,     948,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
0000000000000007,       4,       6,     458,       0,      12,     788,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
0000000000000007,       5,       6,     458,       0,      14,     948,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
0000000000000007,fffffffe,       0,       0,       0,       0,       0,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
000000000000000a,       1,      10,     698,       0,       5,     368,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
000000000000000a,       2,       7,     518,       0,      10,     698,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
000000000000000a,       3,       7,     518,       0,      11,     758,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
000000000000000a,fffffffe,       0,       0,       0,       0,       0,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
0000000000000005,       1,      13,     888,       0,       6,     458,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
0000000000000005,       2,       8,     578,       0,      10,     668,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
0000000000000005,fffffffe,       0,       0,       0,       0,       0,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
000000000000000b,       1,      11,     728,       0,       9,     648,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
000000000000000b,       2,       9,     618,       0,      11,     768,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
000000000000000b,       3,       8,     578,       0,      12,     818,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
000000000000000b,fffffffe,       0,       0,       0,       0,       0,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
000000000000000f,       1,      13,     908,       0,       6,     458,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
000000000000000f,fffffffe,       0,       0,       0,       0,       0,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
0000000000000009,       1,      12,     818,       0,       8,     608,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
0000000000000009,       2,       6,     458,       0,      11,     758,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
0000000000000009,fffffffe,       0,       0,       0,       0,       0,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
000000000000001a,       1,      10,     698,       0,       7,     518,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
000000000000001a,       2,       7,     518,       0,       9,     608,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
000000000000001a,fffffffe,       0,       0,       0,       0,       0,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
0000000000000006,       1,      19,    1258,       0,       7,     528,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
0000000000000006,       2,      10,     718,       0,      18,    1188,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
0000000000000006,       3,       7,     528,       0,      16,    1068,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
0000000000000006,       4,       7,     528,       0,      16,    1068,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
0000000000000006,fffffffe,       0,       0,       0,       0,       0,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
0000000000000002,       1,      18,    1188,       0,       7,     528,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
0000000000000002,       2,       8,     598,       0,      17,    1128,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
0000000000000002,fffffffe,       0,       0,       0,       0,       0,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
000000000000000c,       1,      18,    1188,       0,       9,     648,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
000000000000000c,       2,       9,     648,       0,      19,    1258,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
000000000000000c,fffffffe,       0,       0,       0,       0,       0,       0
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error
