@relation monitor-ddos-flow-attack-stats_clustered

@attribute Instance_number numeric
@attribute datapath string
@attribute in-port numeric
@attribute eth-dst string
@attribute out-port numeric
@attribute packets numeric
@attribute bytes numeric
@attribute Cluster {cluster0,cluster1}

@data
135,3,5,de:f5:ad:55:e8:54,2,7266608,537729001,cluster0
136,000000000000001b,1,de:f5:ad:55:e8:54,3,7266608,537729001,cluster0
137,000000000000001b,3,0e:9b:90:6e:a3:53,1,133,12925,cluster1
138,6,1,de:f5:ad:55:e8:54,4,7266608,537729001,cluster0
139,6,4,0e:9b:90:6e:a3:53,1,133,12925,cluster1
140,3,2,0e:9b:90:6e:a3:53,5,144,13987,cluster1
141,3,5,de:f5:ad:55:e8:54,2,7896824,584364953,cluster0
142,000000000000001a,1,de:f5:ad:55:e8:54,2,7896824,584364953,cluster0
143,000000000000001a,2,0e:9b:90:6e:a3:53,1,144,13987,cluster1
144,000000000000000a,1,de:f5:ad:55:e8:54,2,7896824,584364953,cluster0
145,000000000000000a,2,0e:9b:90:6e:a3:53,1,144,13987,cluster1
146,000000000000001b,1,de:f5:ad:55:e8:54,3,7896824,584364953,cluster0
147,000000000000001b,3,0e:9b:90:6e:a3:53,1,144,13987,cluster1
148,6,1,de:f5:ad:55:e8:54,4,7896824,584364953,cluster0
149,6,4,0e:9b:90:6e:a3:53,1,144,13987,cluster1
150,000000000000000a,1,de:f5:ad:55:e8:54,2,8547389,632506763,cluster0
151,000000000000000a,2,0e:9b:90:6e:a3:53,1,154,15007,cluster1
152,6,1,de:f5:ad:55:e8:54,4,8547389,632506763,cluster0
153,6,4,0e:9b:90:6e:a3:53,1,154,15007,cluster1
154,000000000000001b,1,de:f5:ad:55:e8:54,3,8547389,632506763,cluster0
155,000000000000001b,3,0e:9b:90:6e:a3:53,1,154,15007,cluster1
156,3,2,0e:9b:90:6e:a3:53,5,154,15007,cluster1
157,3,5,de:f5:ad:55:e8:54,2,8547389,632506763,cluster0
158,000000000000001a,1,de:f5:ad:55:e8:54,2,8547389,632506763,cluster0
159,000000000000001a,2,0e:9b:90:6e:a3:53,1,154,15007,cluster1
160,6,1,de:f5:ad:55:e8:54,4,9196782,680561813,cluster0
161,6,4,0e:9b:90:6e:a3:53,1,165,16069,cluster1
162,000000000000000a,1,de:f5:ad:55:e8:54,2,9196782,680561813,cluster0
163,000000000000000a,2,0e:9b:90:6e:a3:53,1,165,16069,cluster1
164,3,2,0e:9b:90:6e:a3:53,5,165,16069,cluster1
165,3,5,de:f5:ad:55:e8:54,2,9196782,680561813,cluster0
166,000000000000001a,1,de:f5:ad:55:e8:54,2,9196782,680561813,cluster0
167,000000000000001a,2,0e:9b:90:6e:a3:53,1,165,16069,cluster1
168,000000000000001b,1,de:f5:ad:55:e8:54,3,9196782,680561813,cluster0
169,000000000000001b,3,0e:9b:90:6e:a3:53,1,165,16069,cluster1
170,6,1,de:f5:ad:55:e8:54,4,9838150,728023013,cluster0
171,6,4,0e:9b:90:6e:a3:53,1,176,17131,cluster1
172,000000000000001b,1,de:f5:ad:55:e8:54,3,9838150,728023013,cluster0
173,000000000000001b,3,0e:9b:90:6e:a3:53,1,176,17131,cluster1
174,000000000000000a,1,de:f5:ad:55:e8:54,2,9838150,728023013,cluster0
175,000000000000000a,2,0e:9b:90:6e:a3:53,1,176,17131,cluster1
176,000000000000001a,1,de:f5:ad:55:e8:54,2,9838150,728023013,cluster0
177,000000000000001a,2,0e:9b:90:6e:a3:53,1,176,17131,cluster1
178,3,2,0e:9b:90:6e:a3:53,5,176,17131,cluster1
179,3,5,de:f5:ad:55:e8:54,2,9838150,728023013,cluster0
180,000000000000001b,1,de:f5:ad:55:e8:54,3,10453270,773541861,cluster0
181,000000000000001b,3,0e:9b:90:6e:a3:53,1,187,18193,cluster1
182,3,2,0e:9b:90:6e:a3:53,5,187,18193,cluster1
183,3,5,de:f5:ad:55:e8:54,2,10453270,773541861,cluster0
184,000000000000001a,1,de:f5:ad:55:e8:54,2,10453270,773541861,cluster0
185,000000000000001a,2,0e:9b:90:6e:a3:53,1,187,18193,cluster1
186,000000000000000a,1,de:f5:ad:55:e8:54,2,10453270,773541861,cluster0
187,000000000000000a,2,0e:9b:90:6e:a3:53,1,187,18193,cluster1
188,6,1,de:f5:ad:55:e8:54,4,10453270,773541861,cluster0
189,6,4,0e:9b:90:6e:a3:53,1,187,18193,cluster1
190,000000000000001a,1,de:f5:ad:55:e8:54,2,11101639,821521167,cluster0
191,000000000000001a,2,0e:9b:90:6e:a3:53,1,197,19213,cluster1
192,6,1,de:f5:ad:55:e8:54,4,11069845,819168411,cluster0
193,6,4,0e:9b:90:6e:a3:53,1,197,19213,cluster1
194,3,2,0e:9b:90:6e:a3:53,5,197,19213,cluster1
195,3,5,de:f5:ad:55:e8:54,2,11069845,819168411,cluster0
196,000000000000000a,1,de:f5:ad:55:e8:54,2,11101639,821521167,cluster0
197,000000000000000a,2,0e:9b:90:6e:a3:53,1,197,19213,cluster1
198,000000000000001b,1,de:f5:ad:55:e8:54,3,11101639,821521167,cluster0
199,000000000000001b,3,0e:9b:90:6e:a3:53,1,197,19213,cluster1
200,6,1,de:f5:ad:55:e8:54,4,11715279,866930495,cluster0
201,6,4,0e:9b:90:6e:a3:53,1,208,20275,cluster1
202,000000000000001b,1,de:f5:ad:55:e8:54,3,11746080,869209769,cluster0
203,000000000000001b,3,0e:9b:90:6e:a3:53,1,208,20275,cluster1
204,000000000000001a,1,de:f5:ad:55:e8:54,2,11746080,869209769,cluster0
205,000000000000001a,2,0e:9b:90:6e:a3:53,1,208,20275,cluster1
206,3,2,0e:9b:90:6e:a3:53,5,208,20275,cluster1
207,3,5,de:f5:ad:55:e8:54,2,11715279,866930495,cluster0
208,000000000000000a,1,de:f5:ad:55:e8:54,2,11715279,866930495,cluster0
209,000000000000000a,2,0e:9b:90:6e:a3:53,1,208,20275,cluster1
210,000000000000000a,1,de:f5:ad:55:e8:54,2,12368446,915264821,cluster0
211,000000000000000a,2,0e:9b:90:6e:a3:53,1,219,21337,cluster1
212,000000000000001a,1,de:f5:ad:55:e8:54,2,12398516,917490001,cluster0
213,000000000000001a,2,0e:9b:90:6e:a3:53,1,219,21337,cluster1
214,3,2,0e:9b:90:6e:a3:53,5,219,21337,cluster1
215,3,5,de:f5:ad:55:e8:54,2,12368446,915264821,cluster0
216,6,1,de:f5:ad:55:e8:54,4,12368446,915264821,cluster0
217,6,4,0e:9b:90:6e:a3:53,1,219,21337,cluster1
218,000000000000001b,1,de:f5:ad:55:e8:54,3,12398516,917490001,cluster0
219,000000000000001b,3,0e:9b:90:6e:a3:53,1,219,21337,cluster1
220,000000000000001a,1,de:f5:ad:55:e8:54,2,13030125,964229067,cluster0
221,000000000000001a,2,0e:9b:90:6e:a3:53,1,229,22357,cluster1
222,3,2,0e:9b:90:6e:a3:53,5,229,22357,cluster1
223,3,5,de:f5:ad:55:e8:54,2,13002120,962156697,cluster0
224,6,1,de:f5:ad:55:e8:54,4,13002120,962156697,cluster0
225,6,4,0e:9b:90:6e:a3:53,1,229,22357,cluster1
226,000000000000001b,1,de:f5:ad:55:e8:54,3,13030125,964229067,cluster0
227,000000000000001b,3,0e:9b:90:6e:a3:53,1,229,22357,cluster1
228,000000000000000a,1,de:f5:ad:55:e8:54,2,13002120,962156697,cluster0
229,000000000000000a,2,0e:9b:90:6e:a3:53,1,229,22357,cluster1
230,000000000000001a,1,de:f5:ad:55:e8:54,2,13639008,1009286345,cluster0
231,000000000000001a,2,0e:9b:90:6e:a3:53,1,241,23461,cluster1
232,000000000000001b,1,de:f5:ad:55:e8:54,3,13639008,1009286345,cluster0
233,000000000000001b,3,0e:9b:90:6e:a3:53,1,241,23461,cluster1
234,3,2,0e:9b:90:6e:a3:53,5,241,23461,cluster1
235,3,5,de:f5:ad:55:e8:54,2,13639008,1009286345,cluster0
236,6,1,de:f5:ad:55:e8:54,4,13639008,1009286345,cluster0
237,6,4,0e:9b:90:6e:a3:53,1,241,23461,cluster1
238,000000000000000a,1,de:f5:ad:55:e8:54,2,13639008,1009286345,cluster0
239,000000000000000a,2,0e:9b:90:6e:a3:53,1,241,23461,cluster1
240,6,1,de:f5:ad:55:e8:54,4,14281721,1056847107,cluster0
241,6,4,0e:9b:90:6e:a3:53,1,251,24481,cluster1
242,000000000000000a,1,de:f5:ad:55:e8:54,2,14281721,1056847107,cluster0
243,000000000000000a,2,0e:9b:90:6e:a3:53,1,251,24481,cluster1
244,000000000000001a,1,de:f5:ad:55:e8:54,2,14281721,1056847107,cluster0
245,000000000000001a,2,0e:9b:90:6e:a3:53,1,251,24481,cluster1
246,000000000000001b,1,de:f5:ad:55:e8:54,3,14281721,1056847107,cluster0
247,000000000000001b,3,0e:9b:90:6e:a3:53,1,251,24481,cluster1
248,3,2,0e:9b:90:6e:a3:53,5,251,24481,cluster1
249,3,5,de:f5:ad:55:e8:54,2,14281721,1056847107,cluster0
250,000000000000001b,1,de:f5:ad:55:e8:54,3,14922826,1104288845,cluster0
251,000000000000001b,3,0e:9b:90:6e:a3:53,1,262,25543,cluster1
252,000000000000000a,1,de:f5:ad:55:e8:54,2,14922826,1104288845,cluster0
253,000000000000000a,2,0e:9b:90:6e:a3:53,1,262,25543,cluster1
