000000000000001c,       2,      20,    1308,       0,    1375,   82554,       0
000000000000001c,fffffffe,       0,       0,       0,       0,       0,       0
0000000000000014,       1,    1389,   83394,       0,      14,     948,       0
0000000000000014,fffffffe,       0,       0,       0,       0,       0,       0
0000000000000019,       1,      10,     708,       0,    1373,   82434,       0
0000000000000019,       2,    1376,   82614,       0,      17,    1128,       0
0000000000000019,fffffffe,       0,       0,       0,       0,       0,       0
0000000000000003,       1,    1366,   82068,       0,      36,    2214,       0
0000000000000003,       2,     136,    8705,       0,   46997,25297954,       0
0000000000000003,       3,      29,    1848,       0,    1379,   82794,       0
0000000000000003,       4,    1376,   82614,       0,      32,    2028,       0
0000000000000003,       5,   45638,25216490,       0,    1483,   89583,       0
0000000000000003,       6,       9,     706,       0,    1386,   83290,       0
0000000000000003,fffffffe,       0,       0,       0,       0,       0,       0
0000000000000010,       1,    1378,   82734,       0,      13,     888,       0
0000000000000010,       2,       9,     648,       0,    1374,   82494,       0
0000000000000010,fffffffe,       0,       0,       0,       0,       0,       0
000000000000000b,       1,    1366,   82014,       0,      27,    1728,       0
000000000000000b,       2,      32,    2028,       0,    1376,   82614,       0
000000000000000b,       3,      20,    1308,       0,    1387,   83274,       0
000000000000000b,fffffffe,       0,       0,       0,       0,       0,       0
0000000000000004,       1,    1379,   82794,       0,      29,    1848,       0
0000000000000004,       2,      34,    2148,       0,    1385,   83154,       0
0000000000000004,       3,      32,    2028,       0,    1375,   82554,       0
0000000000000004,fffffffe,       0,       0,       0,       0,       0,       0
0000000000000018,       1,      10,     708,       0,    1372,   82374,       0
0000000000000018,       2,    1373,   82434,       0,      10,     708,       0
0000000000000018,fffffffe,       0,       0,       0,       0,       0,       0
0000000000000012,       1,    1389,   83394,       0,      14,     948,       0
0000000000000012,fffffffe,       0,       0,       0,       0,       0,       0
0000000000000016,       1,    1366,   82014,       0,      15,    1008,       0
0000000000000016,fffffffe,       0,       0,       0,       0,       0,       0
000000000000000d,       1,    1370,   82254,       0,      24,    1548,       0
000000000000000d,       2,      13,     888,       0,    1378,   82734,       0
000000000000000d,       3,      15,    1008,       0,    1370,   82254,       0
000000000000000d,fffffffe,       0,       0,       0,       0,       0,       0
0000000000000009,       1,    1371,   82314,       0,      27,    1728,       0
0000000000000009,       2,      15,    1008,       0,    1370,   82254,       0
0000000000000009,fffffffe,       0,       0,       0,       0,       0,       0
0000000000000006,       1,   47002,25298254,       0,     136,    8705,       0
0000000000000006,       2,      12,     828,       0,    1387,   83274,       0
