datapath;in-port;eth-dst;out-port;packets;bytes
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;729680;395478635
000000000000001b;3;ae:56:39:e0:e1:96;1;16;937
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;729680;395478635
000000000000001a;2;ae:56:39:e0:e1:96;1;16;937
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;754996;409199907
000000000000001a;2;ae:56:39:e0:e1:96;1;16;937
6;1;f2:a9:ce:7a:1c:b9;4;754996;409199907
6;4;ae:56:39:e0:e1:96;1;17;1011
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;754996;409199907
000000000000000a;2;ae:56:39:e0:e1:96;1;17;1011
3;2;ae:56:39:e0:e1:96;5;17;1011
3;5;f2:a9:ce:7a:1c:b9;2;754996;409199907
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;754996;409199907
000000000000001b;3;ae:56:39:e0:e1:96;1;16;937
6;1;f2:a9:ce:7a:1c:b9;4;780737;423150054
6;4;ae:56:39:e0:e1:96;1;21;1228
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;780737;423150054
000000000000001a;2;ae:56:39:e0:e1:96;1;20;1154
3;2;ae:56:39:e0:e1:96;5;21;1228
3;5;f2:a9:ce:7a:1c:b9;2;780737;423150054
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;780737;423150054
000000000000000a;2;ae:56:39:e0:e1:96;1;21;1228
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;780737;423150054
000000000000001b;3;ae:56:39:e0:e1:96;1;20;1154
3;2;ae:56:39:e0:e1:96;5;21;1228
3;5;f2:a9:ce:7a:1c:b9;2;806407;437063194
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;806407;437063194
000000000000001b;3;ae:56:39:e0:e1:96;1;20;1154
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;806407;437063194
000000000000000a;2;ae:56:39:e0:e1:96;1;21;1228
6;1;f2:a9:ce:7a:1c:b9;4;806407;437063194
6;4;ae:56:39:e0:e1:96;1;21;1228
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;806407;437063194
000000000000001a;2;ae:56:39:e0:e1:96;1;20;1154
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;831950;450907500
000000000000000a;2;ae:56:39:e0:e1:96;1;21;1228
6;1;f2:a9:ce:7a:1c:b9;4;831950;450907500
6;4;ae:56:39:e0:e1:96;1;21;1228
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;831950;450907500
000000000000001b;3;ae:56:39:e0:e1:96;1;20;1154
3;2;ae:56:39:e0:e1:96;5;21;1228
3;5;f2:a9:ce:7a:1c:b9;2;831950;450907500
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;831950;450907500
000000000000001a;2;ae:56:39:e0:e1:96;1;20;1154
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;857655;464839110
000000000000000a;2;ae:56:39:e0:e1:96;1;22;1270
3;2;ae:56:39:e0:e1:96;5;22;1270
3;5;f2:a9:ce:7a:1c:b9;2;857655;464839110
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;857655;464839110
000000000000001b;3;ae:56:39:e0:e1:96;1;21;1196
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;857655;464839110
000000000000001a;2;ae:56:39:e0:e1:96;1;21;1196
6;1;f2:a9:ce:7a:1c:b9;4;857655;464839110
6;4;ae:56:39:e0:e1:96;1;22;1270
6;1;f2:a9:ce:7a:1c:b9;4;883190;478679080
6;4;ae:56:39:e0:e1:96;1;22;1270
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;883190;478679080
000000000000001b;3;ae:56:39:e0:e1:96;1;21;1196
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;883190;478679080
000000000000000a;2;ae:56:39:e0:e1:96;1;22;1270
3;2;ae:56:39:e0:e1:96;5;22;1270
3;5;f2:a9:ce:7a:1c:b9;2;883190;478679080
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;883190;478679080
000000000000001a;2;ae:56:39:e0:e1:96;1;21;1196
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;908597;492449674
000000000000000a;2;ae:56:39:e0:e1:96;1;22;1270
6;1;f2:a9:ce:7a:1c:b9;4;908597;492449674
6;4;ae:56:39:e0:e1:96;1;22;1270
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;908597;492449674
000000000000001a;2;ae:56:39:e0:e1:96;1;21;1196
3;2;ae:56:39:e0:e1:96;5;22;1270
3;5;f2:a9:ce:7a:1c:b9;2;908597;492449674
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;908597;492449674
000000000000001b;3;ae:56:39:e0:e1:96;1;21;1196
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;934251;506353642
000000000000001a;2;ae:56:39:e0:e1:96;1;22;1238
6;1;f2:a9:ce:7a:1c:b9;4;934251;506353642
6;4;ae:56:39:e0:e1:96;1;23;1312
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;934251;506353642
000000000000000a;2;ae:56:39:e0:e1:96;1;23;1312
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;934251;506353642
000000000000001b;3;ae:56:39:e0:e1:96;1;22;1238
3;2;ae:56:39:e0:e1:96;5;23;1312
3;5;f2:a9:ce:7a:1c:b9;2;934251;506353642
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;960078;520351876
000000000000001a;2;ae:56:39:e0:e1:96;1;22;1238
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;960078;520351876
000000000000000a;2;ae:56:39:e0:e1:96;1;23;1312
3;2;ae:56:39:e0:e1:96;5;23;1312
3;5;f2:a9:ce:7a:1c:b9;2;960078;520351876
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;960078;520351876
000000000000001b;3;ae:56:39:e0:e1:96;1;22;1238
6;1;f2:a9:ce:7a:1c:b9;4;960078;520351876
6;4;ae:56:39:e0:e1:96;1;23;1312
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;985660;534217320
000000000000000a;2;ae:56:39:e0:e1:96;1;23;1312
3;2;ae:56:39:e0:e1:96;5;23;1312
3;5;f2:a9:ce:7a:1c:b9;2;985660;534217320
6;1;f2:a9:ce:7a:1c:b9;4;985660;534217320
6;4;ae:56:39:e0:e1:96;1;23;1312
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;985660;534217320
000000000000001b;3;ae:56:39:e0:e1:96;1;22;1238
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;985660;534217320
000000000000001a;2;ae:56:39:e0:e1:96;1;22;1238
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;1011264;548094188
000000000000001b;3;ae:56:39:e0:e1:96;1;23;1280
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;1011264;548094188
