datapath;in-port;eth-dst;out-port;packets;bytes
000000000000000a;1;de:f5:ad:55:e8:54;2;13002120;962156697
000000000000000a;2;0e:9b:90:6e:a3:53;1;229;22357
000000000000001a;1;de:f5:ad:55:e8:54;2;13639008;1009286345
000000000000001a;2;0e:9b:90:6e:a3:53;1;241;23461
000000000000001b;1;de:f5:ad:55:e8:54;3;13639008;1009286345
000000000000001b;3;0e:9b:90:6e:a3:53;1;241;23461
3;2;0e:9b:90:6e:a3:53;5;241;23461
3;5;de:f5:ad:55:e8:54;2;13639008;1009286345
6;1;de:f5:ad:55:e8:54;4;13639008;1009286345
6;4;0e:9b:90:6e:a3:53;1;241;23461
000000000000000a;1;de:f5:ad:55:e8:54;2;13639008;1009286345
000000000000000a;2;0e:9b:90:6e:a3:53;1;241;23461
6;1;de:f5:ad:55:e8:54;4;14281721;1056847107
6;4;0e:9b:90:6e:a3:53;1;251;24481
000000000000000a;1;de:f5:ad:55:e8:54;2;14281721;1056847107
000000000000000a;2;0e:9b:90:6e:a3:53;1;251;24481
000000000000001a;1;de:f5:ad:55:e8:54;2;14281721;1056847107
000000000000001a;2;0e:9b:90:6e:a3:53;1;251;24481
000000000000001b;1;de:f5:ad:55:e8:54;3;14281721;1056847107
000000000000001b;3;0e:9b:90:6e:a3:53;1;251;24481
3;2;0e:9b:90:6e:a3:53;5;251;24481
3;5;de:f5:ad:55:e8:54;2;14281721;1056847107
000000000000001b;1;de:f5:ad:55:e8:54;3;14922826;1104288845
000000000000001b;3;0e:9b:90:6e:a3:53;1;262;25543
000000000000000a;1;de:f5:ad:55:e8:54;2;14922826;1104288845
000000000000000a;2;0e:9b:90:6e:a3:53;1;262;25543
000000000000001a;1;de:f5:ad:55:e8:54;2;14922826;1104288845
000000000000001a;2;0e:9b:90:6e:a3:53;1;262;25543
3;2;0e:9b:90:6e:a3:53;5;262;25543
3;5;de:f5:ad:55:e8:54;2;14922826;1104288845
6;1;de:f5:ad:55:e8:54;4;14922826;1104288845
6;4;0e:9b:90:6e:a3:53;1;262;25543
000000000000001a;1;de:f5:ad:55:e8:54;2;15556270;1151163701
