datapath,in-port,eth-dst,out-port,packets,bytes,duration-sec,duration-nsec,flags
000000000000000a,       1,26:07:6a:27:9e:1f,       2,  192506,129596423,138,434000000,0x0000
000000000000000a,       2,e2:e1:fb:07:8a:5f,       1,      17,    1095,138,479000000,0x0000
0000000000000004,       1,26:07:6a:27:9e:1f,       2,  192506,129596423,138,445000000,0x0000
0000000000000004,       2,e2:e1:fb:07:8a:5f,       1,      17,    1095,138,463000000,0x0000
000000000000000a,       1,26:07:6a:27:9e:1f,       2,  211138,142146667,148,437000000,0x0000
000000000000000a,       2,e2:e1:fb:07:8a:5f,       1,      18,    1137,148,482000000,0x0000
0000000000000003,       3,e2:e1:fb:07:8a:5f,       5,      18,    1137,148,456000000,0x0000
0000000000000003,       5,26:07:6a:27:9e:1f,       3,  211138,142146667,148,451000000,0x0000
0000000000000007,       1,26:07:6a:27:9e:1f,       2,  211138,142146667,148,444000000,0x0000
0000000000000007,       2,e2:e1:fb:07:8a:5f,       1,      18,    1137,148,471000000,0x0000
0000000000000004,       1,26:07:6a:27:9e:1f,       2,  211138,142146667,148,448000000,0x0000
0000000000000004,       2,e2:e1:fb:07:8a:5f,       1,      18,    1137,148,466000000,0x0000
0000000000000006,       2,26:07:6a:27:9e:1f,       4,  211138,142146667,148,440000000,0x0000
0000000000000006,       4,e2:e1:fb:07:8a:5f,       2,      18,    1137,148,479000000,0x0000
000000000000001b,       1,26:07:6a:27:9e:1f,       3,  211138,142146667,148,436000000,0x0000
000000000000001b,       3,e2:e1:fb:07:8a:5f,       1,      18,    1137,148,500000000,0x0000
000000000000001a,       1,26:07:6a:27:9e:1f,       2,  211138,142146667,148,439000000,0x0000
000000000000001a,       2,e2:e1:fb:07:8a:5f,       1,      18,    1137,148,493000000,0x0000
000000000000001b,       1,26:07:6a:27:9e:1f,       3,  227105,152897881,158,443000000,0x0000
000000000000001b,       3,e2:e1:fb:07:8a:5f,       1,      18,    1137,158,507000000,0x0000
000000000000001a,       1,26:07:6a:27:9e:1f,       2,  227105,152897881,158,448000000,0x0000
000000000000001a,       2,e2:e1:fb:07:8a:5f,       1,      18,    1137,158,502000000,0x0000
0000000000000004,       1,26:07:6a:27:9e:1f,       2,  227105,152897881,158,463000000,0x0000
