sep=,
datapath,in-port,eth-dst,out-port,packets,bytes,duration-sec,duration-nsec,flags
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,     101,    7474,0,0,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,     136,   10064,0,0,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      17,    1258,1,172000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,      26,    1924,0,0,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      65,    4810,8,38000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,      29,    2146,0,49000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,      10,     740,0,190000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,     105,    7770,18,155000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,      46,    3404,0,28000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,      12,     888,0,1000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      12,     888,0,0,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,       9,     666,0,0,0x0000
000000000000001d,       1,1a:e6:06:d3:9e:cd,       1,       3,     222,2,892000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      10,     740,0,342000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,      16,    1184,0,0,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      45,    3330,9,666000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,       6,     444,0,85000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,       9,     666,0,394000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,      20,    1480,0,80000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,       6,     444,0,0,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,      15,    1110,0,392000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,       0,       0,0,138000000,0x0000
000000000000000a,       2,4a:f2:58:d3:b3:07,       1,       0,       0,0,337000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,       0,       0,0,432000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,       0,       0,0,306000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,       0,       0,0,399000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,       0,       0,0,57000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,       0,       0,0,0,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,       0,       0,0,85000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,      15,    1110,0,79000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,       3,     222,4,307000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,       2,     148,0,252000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,      29,    2146,0,2000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       1,       1,      74,0,606000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,     128,    9472,0,75000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,     250,   18500,0,187000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       1,       0,       0,0,90000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,       0,       0,0,97000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,       0,       0,0,0,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,       5,     370,0,6000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,       0,       0,0,42000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       3,      50,    3700,0,41000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      14,    1036,5,111000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       3,     177,   13098,0,0,0x0000
