datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error,duration-sec,duration-nsec
000000000000000b,       3,      51,   15468,       0,      26,    1560,       0,869,500000000
000000000000000b,fffffffe,       0,       0,       0,       0,       0,       0,869,461000000
0000000000000008,       1,      76,   17814,       0,       8,     480,       0,869,613000000
0000000000000008,       2,      51,   16032,       0,      24,    1440,       0,869,613000000
0000000000000008,       3,      50,   15408,       0,      23,    1380,       0,869,612000000
0000000000000008,fffffffe,       0,       0,       0,       0,       0,       0,869,593000000
000000000000001d,       1,      69,   16830,       0,       3,     180,       0,865,984000000
000000000000001d,       2,      74,   17412,       0,       7,     420,       0,865,983000000
000000000000001d,fffffffe,       0,       0,       0,       0,       0,       0,865,967000000
000000000000001a,       1,      65,   14898,       0,       3,     180,       0,867,402000000
000000000000001a,       2,      51,   16314,       0,      25,    1500,       0,867,407000000
000000000000001a,fffffffe,       0,       0,       0,       0,       0,       0,866,180000000
000000000000000f,       1,      70,   17172,       0,       1,      60,       0,869,298000000
000000000000000f,fffffffe,       0,       0,       0,       0,       0,       0,869,272000000
000000000000000a,       1,      76,   17532,       0,       7,     420,       0,869,543000000
000000000000000a,       2,      51,   16596,       0,      26,    1560,       0,869,542000000
000000000000000a,       3,      48,   15288,       0,      26,    1560,       0,869,542000000
000000000000000a,fffffffe,       0,       0,       0,       0,       0,       0,869,523000000
0000000000000003,       1,      53,   16434,       0,      28,    1680,       0,870,22000000
0000000000000003,       2,      69,   15984,       0,       9,     540,       0,870,24000000
0000000000000003,       3,      69,   16266,       0,       6,     360,       0,870,23000000
0000000000000003,       4,      54,   15648,       0,      30,    1800,       0,870,22000000
0000000000000003,       5,       0,       0,       0,      29,    1740,       0,870,22000000
0000000000000003,       6,       0,       0,       0,      29,    1740,       0,870,22000000
0000000000000003,fffffffe,       0,       0,       0,       0,       0,       0,870,25000000
0000000000000012,       1,      68,   16770,       0,       1,      60,       0,868,925000000
0000000000000012,fffffffe,       0,       0,       0,       0,       0,       0,868,887000000
000000000000000d,       1,      68,   16206,       0,       6,     360,       0,869,371000000
000000000000000d,       2,      50,   15408,       0,      22,    1320,       0,869,391000000
000000000000000d,       3,      51,   16314,       0,      23,    1380,       0,869,372000000
000000000000000d,fffffffe,       0,       0,       0,       0,       0,       0,869,373000000
000000000000000e,       1,      66,   16086,       0,       4,     240,       0,869,351000000
000000000000000e,       2,      48,   16134,       0,      24,    1440,       0,869,351000000
000000000000000e,fffffffe,       0,       0,       0,       0,       0,       0,869,334000000
0000000000000015,       1,      70,   17736,       0,       3,     180,       0,868,266000000
0000000000000015,       2,      47,   15228,       0,      20,    1200,       0,868,265000000
0000000000000015,fffffffe,       0,       0,       0,       0,       0,       0,868,269000000
0000000000000014,       1,      47,   14946,       0,      24,    1440,       0,868,665000000
0000000000000014,fffffffe,       0,       0,       0,       0,       0,       0,868,378000000
0000000000000007,       1,      46,   14886,       0,      26,    1560,       0,869,638000000
0000000000000007,       2,      48,   15570,       0,      26,    1560,       0,869,638000000
0000000000000007,       3,      47,   15792,       0,      23,    1380,       0,869,655000000
0000000000000007,       4,      46,   15450,       0,      24,    1440,       0,869,640000000
0000000000000007,       5,      67,   16146,       0,       4,     240,       0,869,659000000
0000000000000007,fffffffe,       0,       0,       0,       0,       0,       0,869,641000000
000000000000001b,       1,      68,   16206,       0,       4,     240,       0,866,88000000
000000000000001b,       2,      48,   15288,       0,      22,    1320,       0,866,104000000
000000000000001b,       3,       0,       0,       0,      22,    1320,       0,866,105000000
000000000000001b,fffffffe,       0,       0,       0,       0,       0,       0,866,91000000
0000000000000018,       1,      48,   15852,       0,      24,    1440,       0,868,77000000
0000000000000018,       2,      67,   16428,       0,       6,     360,       0,867,882000000
0000000000000018,fffffffe,       0,       0,       0,       0,       0,       0,867,886000000
000000000000001c,       1,      62,   15000,       0,       4,     240,       0,866,17000000
000000000000001c,       2,      44,   14202,       0,      24,    1440,       0,866,47000000
000000000000001c,fffffffe,       0,       0,       0,       0,       0,       0,866,21000000
0000000000000005,       1,      71,   17796,       0,       2,     120,       0,869,740000000
0000000000000005,       2,      69,   16830,       0,       5,     300,       0,869,755000000
0000000000000005,fffffffe,       0,       0,       0,       0,       0,       0,869,740000000
0000000000000006,       1,      55,   16272,       0,      27,    1620,       0,869,728000000
0000000000000006,       2,      76,   18660,       0,       3,     180,       0,869,729000000
0000000000000006,       3,      53,   15870,       0,      29,    1740,       0,869,729000000
0000000000000006,       4,      52,   15810,       0,      30,    1800,       0,869,712000000
0000000000000006,fffffffe,       0,       0,       0,       0,       0,       0,869,713000000
000000000000000c,       1,      70,   16608,       0,       7,     420,       0,869,439000000
000000000000000c,       2,      47,   14382,       0,      25,    1500,       0,869,439000000
000000000000000c,fffffffe,       0,       0,       0,       0,       0,       0,869,416000000
0000000000000016,       1,      60,   14880,       0,       3,     180,       0,868,240000000
0000000000000016,fffffffe,       0,       0,       0,       0,       0,       0,868,224000000
0000000000000001,       1,      69,   16830,       0,       4,     240,       0,880,313000000
0000000000000001,       2,      73,   17634,       0,       5,     300,       0,880,204000000
