sep=,
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error,duration-sec,duration-nsec
0000000000000007,       5,      15,    4848,       0,      16,     960,       0,107,590000000
0000000000000007,fffffffe,       0,       0,       0,       0,       0,       0,107,431000000
0000000000000015,       1,      24,    5106,       0,       5,     300,       0,106,221000000
0000000000000015,       2,      12,    3822,       0,      14,     840,       0,106,177000000
0000000000000015,fffffffe,       0,       0,       0,       0,       0,       0,106,179000000
000000000000001b,       1,      13,    3882,       0,      12,     720,       0,105,358000000
000000000000001b,       2,      23,    4482,       0,       1,      60,       0,105,359000000
000000000000001b,       3,       0,       0,       0,      12,     720,       0,105,372000000
000000000000001b,fffffffe,       0,       0,       0,       0,       0,       0,105,372000000
0000000000000009,       1,      30,    5748,       0,       3,     180,       0,107,229000000
0000000000000009,       2,      16,    4062,       0,      11,     660,       0,107,230000000
0000000000000009,fffffffe,       0,       0,       0,       0,       0,       0,107,200000000
0000000000000013,       1,      21,    4362,       0,       5,     300,       0,106,520000000
0000000000000013,fffffffe,       0,       0,       0,       0,       0,       0,106,496000000
0000000000000019,       1,      25,    4602,       0,       2,     120,       0,105,441000000
0000000000000019,       2,      27,    4722,       0,       5,     300,       0,105,490000000
0000000000000019,fffffffe,       0,       0,       0,       0,       0,       0,105,442000000
0000000000000006,       1,      20,    4866,       0,      19,    1140,       0,107,617000000
0000000000000006,       2,      22,    5268,       0,      15,     900,       0,107,633000000
0000000000000006,       3,      15,    4002,       0,      19,    1140,       0,107,634000000
0000000000000006,       4,      28,    4782,       0,       6,     360,       0,107,617000000
0000000000000006,fffffffe,       0,       0,       0,       0,       0,       0,107,633000000
0000000000000010,       1,      34,    5988,       0,       2,     120,       0,116,675000000
0000000000000010,       2,      15,    4848,       0,      17,    1020,       0,116,697000000
0000000000000010,fffffffe,       0,       0,       0,       0,       0,       0,116,677000000
000000000000000d,       1,      29,    5970,       0,       7,     420,       0,116,857000000
000000000000000d,       2,      18,    5592,       0,      20,    1200,       0,116,882000000
000000000000000d,       3,      17,    4686,       0,      18,    1080,       0,116,857000000
000000000000000d,fffffffe,       0,       0,       0,       0,       0,       0,116,859000000
0000000000000001,       1,      30,    5748,       0,       7,     420,       0,117,933000000
0000000000000001,       2,      32,    5304,       0,       7,     420,       0,117,933000000
0000000000000001,fffffffe,       0,       0,       0,       0,       0,       0,117,900000000
0000000000000016,       1,      33,    5928,       0,       1,      60,       0,116,139000000
0000000000000016,fffffffe,       0,       0,       0,       0,       0,       0,116,115000000
000000000000000f,       1,      28,    5346,       0,       5,     300,       0,116,743000000
000000000000000f,fffffffe,       0,       0,       0,       0,       0,       0,116,720000000
0000000000000019,       1,      32,    5586,       0,       2,     120,       0,115,441000000
0000000000000019,       2,      34,    5706,       0,       5,     300,       0,115,490000000
0000000000000019,fffffffe,       0,       0,       0,       0,       0,       0,115,442000000
0000000000000013,       1,      28,    5346,       0,       5,     300,       0,116,520000000
0000000000000013,fffffffe,       0,       0,       0,       0,       0,       0,116,496000000
000000000000001c,       1,      14,    4506,       0,      17,    1020,       0,115,312000000
000000000000001c,       2,      16,    5190,       0,      17,    1020,       0,115,312000000
000000000000001c,fffffffe,       0,       0,       0,       0,       0,       0,115,330000000
0000000000000005,       1,      40,    6912,       0,       5,     300,       0,117,648000000
0000000000000005,       2,      37,    6732,       0,       3,     180,       0,117,665000000
0000000000000005,fffffffe,       0,       0,       0,       0,       0,       0,117,649000000
0000000000000009,       1,      37,    6732,       0,       3,     180,       0,117,229000000
0000000000000009,       2,      18,    4746,       0,      16,     960,       0,117,230000000
0000000000000009,fffffffe,       0,       0,       0,       0,       0,       0,117,200000000
000000000000000c,       1,      34,    5424,       0,       6,     360,       0,116,936000000
000000000000000c,       2,      20,    4866,       0,      14,     840,       0,116,935000000
000000000000000c,fffffffe,       0,       0,       0,       0,       0,       0,116,915000000
000000000000000b,       1,      21,    5208,       0,      20,    1200,       0,117,82000000
000000000000000b,       2,      39,    6852,       0,       9,     540,       0,117,75000000
000000000000000b,       3,      19,    4806,       0,      22,    1320,       0,117,70000000
000000000000000b,fffffffe,       0,       0,       0,       0,       0,       0,117,31000000
000000000000001a,       1,      21,    5490,       0,      16,     960,       0,115,422000000
000000000000001a,       2,      31,    5808,       0,       2,     120,       0,115,424000000
000000000000001a,fffffffe,       0,       0,       0,       0,       0,       0,115,405000000
0000000000000006,       1,      21,    5208,       0,      24,    1440,       0,117,617000000
0000000000000006,       2,      24,    5952,       0,      20,    1200,       0,117,633000000
0000000000000006,       3,      16,    4344,       0,      24,    1440,       0,117,634000000
0000000000000006,       4,      35,    5766,       0,       6,     360,       0,117,617000000
0000000000000006,fffffffe,       0,       0,       0,       0,       0,       0,117,633000000
000000000000001d,       1,      28,    4782,       0,       1,      60,       0,115,287000000
000000000000001d,       2,      14,    4506,       0,      17,    1020,       0,115,266000000
000000000000001d,fffffffe,       0,       0,       0,       0,       0,       0,115,269000000
0000000000000002,       1,      23,    5892,       0,      16,     960,       0,117,817000000
0000000000000002,       2,      36,    6108,       0,       5,     300,       0,117,816000000
0000000000000002,fffffffe,       0,       0,       0,       0,       0,       0,117,790000000
0000000000000003,       1,      19,    5088,       0,      22,    1320,       0,117,759000000
0000000000000003,       2,      39,    6570,       0,       7,     420,       0,117,759000000
0000000000000003,       3,      26,    6072,       0,      18,    1080,       0,117,758000000
0000000000000003,       4,      22,    4986,       0,      23,    1380,       0,117,758000000
0000000000000003,       5,       0,       0,       0,      24,    1440,       0,117,758000000
0000000000000003,       6,       3,     126,       0,      24,    1440,       0,117,758000000
0000000000000003,fffffffe,       0,       0,       0,       0,       0,       0,117,760000000
